"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o48876",1008,1811,2,0,0,0,0,0,0,1,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o44296",1008,1286,3,0,0,0,0,0,0,0,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o28210",1009,3126,5,0,0,0,1,0,1,0,1,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o43295",1009,3593,4,0,0,0,0,0,0,1,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o39081",1010,3479,7,1,0,0,1,0,0,1,0,0,1,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o12608",1011,4897,8,0,0,0,1,0,0,0,2,0,1,1,0,1,"True","False","True",2,NA,"",NA,"",""
"o65463",1011,1279,4,0,0,0,2,0,0,1,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o17668",1011,1840,3,0,0,0,0,0,0,0,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o17663",1012,1291,2,0,0,0,0,0,0,1,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o34362",1015,2430,6,0,0,0,2,0,0,1,0,0,1,1,0,1,"True","False","True",2,NA,"",NA,"",""
"o77701",1016,4736,7,0,0,0,1,0,0,1,1,0,1,1,0,1,"True","False","True",2,NA,"",NA,"",""
"o65305",1017,1231,4,1,0,0,0,0,1,0,0,1,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o44009",1018,5690,15,0,0,0,2,0,6,1,3,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o44287",1018,1009,3,0,0,0,1,0,0,0,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o65451",1019,3409,11,0,0,0,0,0,2,0,0,0,6,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o78130",1021,3194,5,0,0,0,1,0,0,1,0,0,2,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o44303",1021,1061,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o66067",1022,5178,7,0,0,0,0,0,1,1,1,0,2,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o60120",1022,2739,6,0,0,0,1,0,1,1,0,1,2,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o66192",1022,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o43278",1022,6762,12,0,0,0,4,0,2,0,2,0,3,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o10016",1024,1993,5,0,0,0,0,0,2,0,0,0,2,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o16041",1024,2941,6,0,0,0,1,0,0,1,0,0,2,0,0,2,"True","False","True",2,NA,"",NA,"",""
