objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o75562,3516,18329,38,37,true,1,0,0,9,0,3,2,3,0,5,1,1,2,true,false,true,2,,,,,
o30284,3517,18811,52,51,true,0,1,0,6,0,9,5,8,1,11,1,1,1,true,false,true,2,,,,,
o31089,3519,47747,198,197,true,1,0,0,20,0,9,17,58,3,8,50,4,0,true,false,true,3,,,,,
o7287,3520,23462,43,42,true,1,0,0,1,0,4,6,4,1,6,1,1,4,true,false,true,2,,,,,
o41548,3524,64,2,1,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o30265,3528,45383,194,193,true,0,0,0,19,0,13,17,55,2,8,48,3,1,true,false,true,3,,,,,
o39780,3529,13915,41,39,true,1,0,0,11,0,1,4,3,0,8,0,1,2,true,false,true,2,,,,,
o12508,3531,64,2,2,true,1,1,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o1329,3532,13012,27,25,true,0,0,0,0,0,2,4,3,0,8,0,1,0,true,false,true,2,,,,,
o47239,3533,15628,20,19,true,1,0,0,2,0,1,4,2,1,2,1,1,0,true,false,true,2,,,,,
o74931,3534,16770,39,38,true,0,0,1,9,0,3,3,3,0,6,1,1,3,true,false,true,2,,,,,
o61620,3535,6862,32,31,true,1,0,0,2,0,8,1,2,0,12,0,0,0,true,false,true,2,,,,,
o65677,3537,10387,50,49,true,1,1,0,5,0,20,2,6,0,3,1,1,1,true,false,true,2,,,,,
o16791,3545,2996,23,22,true,1,0,0,2,0,7,0,0,0,8,0,0,0,true,false,true,2,,,,,
o68630,3545,20585,43,42,true,1,0,0,10,0,3,5,4,0,7,2,1,0,true,false,true,2,,,,,
o62651,3552,13129,29,28,true,1,0,0,7,0,1,2,1,0,5,0,1,1,true,false,true,2,,,,,
o81186,3553,10075,29,28,true,0,0,0,1,0,7,2,2,0,9,1,1,0,true,false,true,2,,,,,
o82708,3555,7091,36,35,true,1,0,1,10,0,9,2,4,0,5,1,1,0,true,false,true,2,,,,,
o83760,3556,24040,37,36,true,1,0,0,5,0,1,3,2,2,5,1,1,2,true,false,true,2,,,,,
o65485,3561,8165,27,26,true,1,0,0,10,0,1,2,2,0,5,0,1,0,true,false,true,2,,,,,
o9875,3561,23375,5626,5626,true,1,0,0,32,0,5100,5,457,1,13,2,2,1,true,false,true,2,,,,,
o7392,3567,4005,17,16,true,1,0,0,0,0,4,1,0,0,5,1,0,1,true,false,true,2,,,,,
o6770,3576,10301,23,22,true,2,0,0,4,0,1,2,2,1,3,0,0,0,true,false,true,2,,,,,
o68725,3576,9981,25,24,true,1,0,0,3,0,1,2,1,0,4,0,1,0,true,false,true,3,,,,,
o90669,3579,10464,28,27,true,1,0,0,1,0,2,2,2,0,13,0,1,0,true,false,true,2,,,,,
o65653,3581,2804,8,7,true,0,0,0,4,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o6767,3581,15644,36,35,true,1,0,0,7,0,3,4,3,0,7,0,1,0,true,false,true,2,,,,,
o51161,3583,24028,36,35,true,1,0,0,6,0,0,2,3,3,4,2,2,2,true,false,true,2,,,,,
o61637,3583,7527,27,26,true,1,1,0,2,0,7,2,2,0,7,0,1,0,true,false,true,2,,,,,
o82239,3585,44174,673,672,true,1,0,0,127,0,117,192,0,2,11,178,9,0,true,false,true,2,,,,,
o79893,3602,10087,39,38,true,0,0,1,14,0,7,2,2,1,5,0,1,0,true,false,true,2,,,,,
o79727,3603,6340,27,26,true,1,0,0,8,0,3,3,2,1,5,0,1,1,true,false,true,2,,,,,
o53110,3605,11439,25,24,true,1,0,0,6,0,1,3,2,0,5,0,0,0,true,false,true,2,,,,,
o48339,3611,22522,43,41,true,1,0,0,2,0,2,9,4,1,6,1,1,1,true,false,true,2,,,,,
o9894,3611,19936,5486,5486,true,1,0,1,15,0,5051,5,393,2,10,1,1,1,true,false,true,2,,,,,
o6241,3612,17681,5775,5774,true,1,0,0,5,0,5306,5,437,0,7,1,1,1,true,false,true,2,,,,,
o85190,3613,18130,29,28,true,1,0,0,0,0,0,3,4,1,2,2,1,1,true,false,true,3,,,,,
o90648,3613,10639,19,18,true,2,0,0,0,0,0,2,2,1,5,0,1,0,true,false,true,2,,,,,
o9363,3620,64,2,1,true,0,1,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o84052,3624,7407,16,15,true,1,0,0,0,0,1,2,1,1,6,0,1,0,true,false,true,2,,,,,
o27839,3630,22592,38,37,true,0,1,0,7,0,2,3,3,1,4,1,2,0,true,false,true,2,,,,,
o58212,3631,12575,21,20,true,1,0,0,1,0,0,2,3,0,3,1,1,0,true,false,true,2,,,,,
o90119,3637,2385,9,8,true,1,0,0,2,0,1,0,0,0,1,1,1,0,true,false,true,2,,,,,
o48810,3644,11165,24,23,true,0,0,1,0,0,3,2,1,0,5,0,1,2,true,false,true,2,,,,,
o13655,3646,15284,42,41,true,1,0,1,10,0,1,3,5,0,5,1,1,2,true,false,true,2,,,,,
o31058,3647,47781,211,209,true,1,1,0,19,0,12,17,57,3,8,53,4,0,true,false,true,3,,,,,
o4842,3658,15539,33,32,true,2,0,0,2,0,2,4,4,1,6,0,1,1,true,false,true,2,,,,,
o28613,3663,26244,44,43,true,2,0,0,1,0,3,6,5,1,6,1,1,1,true,false,true,2,,,,,
o21862,3665,24208,70,68,true,1,0,0,27,0,5,6,5,1,10,2,1,0,true,false,true,2,,,,,
o9349,3665,64,3,2,true,1,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o8478,3666,64,4,3,true,2,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o30271,3671,46057,193,191,true,1,0,0,19,0,9,16,55,2,9,48,3,0,true,false,true,3,,,,,
